condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A4_plug_mem_nohook,s1,,ExampleDPWellbore,0.9299,success,False,444.2,10,0,18,0.1199151
A4_plug_mem_nohook,s1,,ExampleEDPWellbore,0.9967,success,False,278.9,8,0,15,0.10255284000000002
A4_plug_mem_nohook,s1,,ExampleIsothermalLeakyWell,0.9929,success,False,348.9,7,0,16,0.06306588
A4_plug_mem_nohook,s1,,ExampleMandel,0.0961,success,False,542.5,17,0,31,0.28734342
A4_plug_mem_nohook,s1,,ExampleThermalLeakyWell,0.9724,success,False,482.0,11,0,19,0.10969733999999999
A4_plug_mem_nohook,s1,,ExampleThermoporoelasticConsolidation,0.7632,success,False,518.1,20,0,34,0.4000686
A4_plug_mem_nohook,s1,,TutorialPoroelasticity,0.3436,success,False,454.9,21,0,38,0.43347540000000007
A4_plug_mem_nohook,s1,,TutorialSneddon,0.8966,success,False,507.3,10,0,35,0.39462168000000003
A4_plug_mem_nohook,s1,,buckleyLeverettProblem,0.5164,success,False,197.8,14,0,20,0.13696715999999998
A4_plug_mem_nohook,s1,,kgdExperimentValidation,0.9995,success,False,221.4,4,0,10,0.0590424
A4_plug_mem_nohook,s1,,pknViscosityDominated,1.0,success,False,125.0,6,0,12,0.0665709
A4_plug_mem_nohook,s2,,AdvancedExampleCasedContactThermoElasticWellbore,0.9628,success,False,123.0,6,0,13,0.0403341
A4_plug_mem_nohook,s2,,AdvancedExampleDeviatedElasticWellbore,0.3621,success,False,203.5,16,0,25,0.16179384000000002
A4_plug_mem_nohook,s2,,AdvancedExampleDruckerPrager,1.0,success,False,122.2,8,0,24,0.11147352
A4_plug_mem_nohook,s2,,AdvancedExampleExtendedDruckerPrager,1.0,success,False,217.0,5,0,25,0.13416689999999998
A4_plug_mem_nohook,s2,,AdvancedExampleModifiedCamClay,1.0,success,False,109.9,4,0,17,0.10770720000000002
A4_plug_mem_nohook,s2,,AdvancedExampleViscoDruckerPrager,0.9906,success,False,116.6,11,0,20,0.10746354
A4_plug_mem_nohook,s2,,ExampleDPWellbore,0.426,success,False,377.3,30,0,51,0.5190463800000001
A4_plug_mem_nohook,s2,,ExampleEDPWellbore,0.0,success,False,310.2,25,0,42,0.4967591400000001
A4_plug_mem_nohook,s2,,ExampleIsothermalLeakyWell,0.428,success,False,226.0,12,0,23,0.19410174000000002
A4_plug_mem_nohook,s2,,ExampleMandel,0.9619,success,False,234.8,6,0,34,0.24259109999999998
A4_plug_mem_nohook,s2,,ExampleThermalLeakyWell,0.3535,success,False,347.9,17,0,31,0.35520191999999995
A4_plug_mem_nohook,s2,,ExampleThermoporoelasticConsolidation,0.2141,success,False,263.8,23,0,37,0.33814584000000003
A4_plug_mem_nohook,s2,,TutorialPoroelasticity,0.5394,success,False,340.8,24,0,44,0.42553782000000007
A4_plug_mem_nohook,s2,,TutorialSneddon,0.1208,success,False,225.4,20,0,34,0.29396429999999996
